CandidateName,Withdrew,Party,Office,District,Race,Gender,Website,Twitter,Facebook,Instagram,YouTube,TikTok,BlueSky,Notes
Hector Cabildo,,R,H,16,Hispanic,M,https://cabildoforcongress.com/,https://x.com/cabiforcongress,https://www.facebook.com/CabildoforCongress/,https://www.instagram.com/cabildoforcongress,https://www.youtube.com/@CabildoforCongress,99,99,N/A
Raul 'Bullet' Castaneda,,R,H,16,Hispanic,M,https://bulletraul4congress16.com/,99,https://www.facebook.com/people/Bullet-Castaneda-4-Congress/61582885089987/,https://www.instagram.com/rcbulletcongress16,99,https://www.tiktok.com/@rcbulletcongress16,99,N/A
Marcy Chavez,,R,H,16,Hispanic,F,99,99,99,99,99,99,99,N/A
Deliris 'DMB' Montanez,,R,H,16,Hispanic,F,https://dmbforelpaso.com/,https://x.com/DMBfor,https://www.facebook.com/DMBfor/,https://www.instagram.com/deemontanez/,https://www.youtube.com/@dmbdelirismontanezberrios3934/videos,99,99,N/A
Ruben Rios,,R,H,16,Hispanic,M,https://rubenriosforelpaso.com/,99,https://www.facebook.com/people/RubenRios-ForCongress/100090140031834/,https://www.instagram.com/rubenriosforcongress/,https://www.youtube.com/@RubenRiosForCongressTX16,99,99,That is his Campaign Facebook account but it's not a page.
Milah Flores,,D,H,17,Hispanic,F,https://www.milahforcongress.com/,https://x.com/Milah4Congress,https://www.facebook.com/people/Milah-Flores-for-Congress/61582107836835/,https://www.instagram.com/milahflo,99,https://www.tiktok.com/@milahforcongress,99,N/A
J Gordon Mitchell,,D,H,17,White,M,https://jgordonmitchell.com/,99,https://www.facebook.com/people/J-Gordon-Mitchell/61584674324694/#,https://www.instagram.com/j_gordon_mitchell_for_congress,https://www.youtube.com/channel/UC1poH1IxLRSg5XwpY5Zvcaw,https://www.tiktok.com/@jgordonmitchell,99,N/A
Casey Shepard,,D,H,17,Not Sure,Not Sure,99,99,99,99,99,99,99,N/A
Gretchen Brown,,D,H,18,Black,F,https://www.gretchenbrownforcongress.com/,99,https://www.facebook.com/people/Gretchen-Brown/61580224996340/,https://www.instagram.com/gretchenbrown4congress,99,99,99,That is her Campaign Facebook account but it's not a page.
Amanda Edwards,,D,H,18,Black,F,https://www.edwardsforhouston.com/,https://x.com/AKEdwardsTX,https://www.facebook.com/amandakedwardstx/,https://www.instagram.com/amandakedwardstx,https://www.youtube.com/@AKEdwardsTX,https://www.tiktok.com/@amandakedwardstx,https://bsky.app/profile/akedwardstx.bsky.social,Either Edwards or Menefee will be the incumbent following a special election for this district in March.
Christian Dashaun Menefee,,D,H,18,Black,M,https://christianmenefee.com/,https://x.com/CDMenefee,https://www.facebook.com/ChristianDMenefee/,https://www.instagram.com/CDMenefee_/#,https://www.youtube.com/@christianmenefeearchive,https://www.tiktok.com/@christianmenefee,https://bsky.app/profile/cdmenefee.bsky.social,Either Edwards or Menefee will be the incumbent following a special election for this district in March.
Elizabeth Vences,,R,H,18,Hispanic,F,99,99,99,99,99,99,99,N/A
Ronald Dwayne Whitfield,,R,H,18,Black,M,99,99,99,99,99,99,99,"He has a personal facebook page where he calls himself ""Israel's Last Prophet"". "
Kyle Rable,,D,H,19,White,M,https://www.rableforwesttexas.com/,https://x.com/rableforwesttx,https://www.facebook.com/rableforwesttexas/,https://www.instagram.com/rableforwesttexas/,99,https://www.tiktok.com/@rableforwesttexas,https://bsky.app/profile/rableforwesttexas.bsky.social,N/A
James Bob Barbee,,R,H,19,White,M,https://www.jbforcongress.net/,99,https://www.facebook.com/people/James-Barbee-Congress-District-19/61585007964742/,https://www.instagram.com/jamesbarbeedistrict19/,99,99,99,N/A
Jason Corley,,R,H,19,White,M,https://jasoncorleyfortexas.com/,99,https://www.facebook.com/corleyfortexas,https://www.instagram.com/corleyfortexas/,99,99,99,N/A
