CandidateName,Withdrew,Party,Office,District,Race,Gender,Website,Twitter,Facebook,Instagram,YouTube,TikTok,BlueSky,Notes
Jasmine Crockett,,D,S,,Black,F,https://www.jasmineforus.com/,https://x.com/JasmineForUS,https://www.facebook.com/jasminefor100,https://www.instagram.com/jasmineforus,https://www.youtube.com/@JasmineForUS,https://www.tiktok.com/@jasmineforus,https://bsky.app/profile/jasmineforus.bsky.social,N/A
Ahmad R. Hassan,,D,S,,Other,M,https://hassanfortexas.com/,https://x.com/HassanDr32361,99,99,99,99,99,N/A
James Talarico,,D,S,,White,M,https://jamestalarico.com/,https://x.com/jamestalarico,https://www.facebook.com/JamesTalaricoTX,https://www.instagram.com/jamestalarico,https://www.youtube.com/@JamesTalaricoTX,https://www.tiktok.com/@jamestalarico,https://bsky.app/profile/jamestalarico.bsky.social,N/A
John O. Adefope,,R,S,,Not Sure,M,99,99,99,99,99,99,99,N/A
Anna Bender,,R,S,,Black,F,https://www.annabenderforsenate.com/,99,99,99,99,99,99,N/A
Virgil John Bierschwale,,R,S,,White,M,https://vbsenate.com/,https://x.com/VBierschwale,https://www.facebook.com/people/Virgil-Bierschwale/pfbid0qu1kwiHQH5MfGWEM9tr16C8V2SwqySU6duipPV7cRYqyN6K2MHZXyU6eyRhUg7cVl/,99,99,99,99,That is his Campaign Facebook account but it's not a page.
Sara Canady,,R,S,,White,F,https://www.saraforsenate.org/,99,https://www.facebook.com/saraforsenate#,99,99,99,99,N/A
Wesley Hunt,,R,S,,Black,M,https://wesleyfortexas.com/,https://x.com/WesleyHuntTX,https://www.facebook.com/WesleyHuntTX,https://www.instagram.com/wesleyfortexas/,https://www.youtube.com/@WesleyHuntTX,https://www.tiktok.com/@wesleyhunttx,99,N/A
"Gulrez ""Gus"" Khan",,R,S,,Asian,M,https://www.gkhanforsenate.com/,https://x.com/GKHAN4SENATE,https://www.facebook.com/gkhanforcongress/,https://www.instagram.com/gulrezkhanforussenate2026/,https://www.youtube.com/@gkhanforsenate2026/videos,https://www.tiktok.com/@gkhan4senate,99,Website won't load for me but I can see it's populated with information when I look at the metadata.
Ken Paxton,,R,S,,White,M,https://www.kenpaxton.com/,https://x.com/kenpaxtontx,https://www.facebook.com/kenpaxtontx/,https://www.instagram.com/kenpaxtontx/?hl=en,https://www.youtube.com/user/KenPaxtonTX,99,99,N/A
Ted Brown,,L,S,,White,M,https://tedbrown.org/,https://x.com/TedBrownLiberty,https://www.facebook.com/tedbrowncd17/,99,99,99,99,N/A
Joshua Cain,,I,S,,Not Sure,M,99,99,99,99,99,99,99,N/A
Camencia Ford,,I,S,,Not Sure,F,99,99,99,99,99,99,99,N/A
Jade Simmons,,I,S,,Black,F,https://www.jadesimmonsforsenate.com/,99,99,99,99,https://www.tiktok.com/@jadesimmonsforsenate,99,N/A
Hans Truelson,,I,S,,White,M,https://hanstruelson.turbobuilt.com/,99,99,99,99,99,99,Policies: Benjamin Franklin was an idiot and we need to stop arresting criminals. I love politics.
Dax Alexander,,D,H,1,White,M,https://www.daxforcongress.com/,99,https://www.facebook.com/daxforcongress,https://www.instagram.com/daxforcongress.tx01/,99,99,99,N/A
Tracy Andrus,,D,H,1,Black,M,https://www.tracyandrusforuscongress.com/,https://x.com/TracyAndrus,https://www.facebook.com/tracy.andrus2,https://www.instagram.com/tandrus26/,99,99,99,That is his Campaign Facebook account but it's not a page.
Yolanda R. Prince,,D,H,1,Black,F,99,99,https://www.facebook.com/people/Yolanda-Prince-for-Congress/61585360313326/#,99,99,99,99,N/A
Masika Akilah Ray,,D,H,1,Black,F,https://www.masikaakilahray.com/,99,https://www.facebook.com/people/Masika-Akilah-Ray-for-Congress/61575084912369/,https://www.instagram.com/masikaakilah/,https://www.youtube.com/@MasikaAkilah,https://www.tiktok.com/@masikaakilah,https://bsky.app/profile/masikaakilah.bsky.social,N/A
Sonia Canchola,,I,H,1,Not Sure,F,99,99,99,99,99,99,99,N/A
Shaun Finnie,,D,H,2,White,M,https://shaunfinnieforcongress.com/,https://x.com/shaunfinnie,https://www.facebook.com/people/Shaun-Finnie-for-Congress/61577416087375/,https://www.instagram.com/shaunfinnieforcongress/,99,https://www.tiktok.com/@shaunfinnieforcongress,99,N/A
Martin Etwop,,R,H,2,Black,M,https://www.martinetwop.com/,https://x.com/MartinEtwop,https://www.facebook.com/EtwopForCongress/,https://www.instagram.com/martin_etwop/,https://www.youtube.com/@MartinEtwopForCongress,https://www.tiktok.com/@martinetwoptx2,99,N/A
Nicholas Lee Plumb,,R,H,2,White,M,https://www.nleeplumb.com/,https://x.com/PlumbNick,https://www.facebook.com/p/N-Lee-Plumb-for-Congress-61579044184646/,https://www.instagram.com/plumbfortx2/,https://www.youtube.com/channel/UCmXC1qMDQbgUzdZNQ8hVKPA,99,99,N/A
Steve Toth,,R,H,2,White,M,https://stevetothforcongress.com/,https://x.com/SteveTothTX,https://www.facebook.com/SteveTothTX,https://www.instagram.com/stevetothtx/?hl=en,https://www.youtube.com/@stevetoth8084/videos,99,99,N/A
Evan Hunt,,D,H,3,White,M,https://www.electevanhunt.com/,99,https://www.facebook.com/people/Elect-Evan-Hunt/61575035168598,https://www.instagram.com/electevanhunt,https://www.youtube.com/@electevanhunt,https://www.tiktok.com/@electevanhunt,https://bsky.app/profile/electevanhunt.bsky.social,N/A
