CandidateName,Party,Office,District,Race,Gender,Website,Twitter,Facebook,Instagram,YouTube,TikTok,BlueSky,Notes
Casey Chlebek,Republican,U.S. Senate,Illinois,,Male,https://caseyforsenate.com/,https://x.com/caseysenate,https://www.facebook.com/Casey4Senate,https://www.instagram.com/casey_chlebek_for_us_senate/,99,99,99,
Don Tracy,Republican,U.S. Senate,Illinois,,Male,https://www.dontracyforil.com/,https://x.com/DonTracyForIL,https://www.facebook.com/dontracyforil/,https://www.instagram.com/DonTracyForIL,99,99,99,
R. Cary Capparelli,Republican,U.S. Senate,Illinois,,Male,https://www.rcarycapparelli.net/,99,99,99,99,99,99,"Facebook was a group, not a page"
Pamela Denise Long,Republican,U.S. Senate,Illinois,,Female,https://longforsenate2026.com/,https://x.com/long4Illinois,https://www.facebook.com/longforsenate2026,https://www.instagram.com/longforsenate2026,https://www.youtube.com/@pameladeniselong,https://www.tiktok.com/@long.for.senate2026,99,
"Jimmy Lee Tillman, II",Republican,U.S. Senate,Illinois,,Male,https://www.jimmylee2dc.com/,99,https://www.facebook.com/people/Jimmy-Lee-Tillman-II/100064591188126/,99,99,99,99,
Jeannie Evans,Republican,U.S. Senate,Illinois,,Female,https://www.jeannieevans.com/,https://x.com/jeannie4il,https://www.facebook.com/people/Jeannie-Evans/61583491726785/,https://www.instagram.com/jeannie4il/,99,99,99,
Marcus Lewis,Republican,U.S. House,1,,Male,https://marcuslewisforcongress.org/,https://x.com/MarcusFor53787,https://www.facebook.com/people/Marcus-Lewis-for-Congressorg/61563999113868/?_rdr,99,https://www.youtube.com/@Lashegirl,99,99,
Christian Maxwell,Republican,U.S. House,1,,Female,https://christianmaxwellforcongress.com/Home,https://x.com/themodpun,https://www.facebook.com/p/Christian-Maxwell-For-Congress-61575173978034/,https://www.instagram.com/christianmaxwellforcongress/reels/,https://www.youtube.com/@themodpun/videos,https://www.tiktok.com/@themodpun,99,"i think some of these accounts were personal and were converted to campaign, so they could switch back"
Donna Miller,Democratic,U.S. House,2,,Female,https://donnaforcongress.com/,https://x.com/Donna4Congress,https://www.facebook.com/donnamillerforcongress,https://www.instagram.com/donnaforcongress/,99,99,https://bsky.app/profile/donnaforcongress.bsky.social,
Eric France,Democratic,U.S. House,2,,Male,https://franceforcongress.com/,https://x.com/France4Congress,https://www.facebook.com/people/Citizens-to-Elect-Eric-France/61575537801558/,https://www.instagram.com/franceforcongress/,https://www.youtube.com/@CitizenstoElectEricFrance,https://www.tiktok.com/@franceforcongress,99,
Robert Peters,Democratic,U.S. House,2,,Male,https://www.robertpetersforcongress.com/,https://x.com/RobertJPeters,https://www.facebook.com/RobertPetersForCongress/,https://www.instagram.com/robertjamespeters,99,99,99,
Willie Preston,Democratic,U.S. House,2,,Male,https://electpreston.com/,https://x.com/preston4usrep,99,https://www.instagram.com/electpreston,https://www.youtube.com/@PrestonforCongress,99,99,
"Jesse Louis Jackson, Jr.",Democratic,U.S. House,2,,Male,https://www.jessejacksonjrforcongress.com/,https://x.com/VoteJesseJr,https://www.facebook.com/JesseJacksonJr.forCongress,https://www.instagram.com/jessejrforcongress/,99,https://www.tiktok.com/@jessejrforcongress,99,
Yumeka Brown,Democratic,U.S. House,2,,Female,https://www.yumekaforcongress.com/,https://x.com/BrownYumeka,https://www.facebook.com/yumekaforcongress/,https://www.instagram.com/yumekaforcongress/,99,https://www.tiktok.com/@yumekaforcongress,99,
